Paragraph_Number,Initiative,Context,Goal,Timeline
136,Connections with International Markets,Establish connections with markets such as Switzerland and the United Arab Emirates,Promote the use of offshore Chinese Government Bonds as collateral in different clearing houses,Not specified
136,Electronic Bond-Trading Platform Feasibility Study,Study the feasibility of an innovative electronic bond-trading platform,Improve market liquidity and efficiency,Not specified
136,Commercial Repo Market and Central Counterparty Regime,Promote the establishment of a commercial repo market and a central counterparty regime,Improve market liquidity,Not specified
137,Offshore Treasury Bond Futures,Expand financial market connectivity with the Mainland,Introduce offshore treasury bond futures in Hong Kong,Ongoing discussions
137,Expand Swap Connect,Enhance financial market integration and product diversity,Expand the variety of interest rate derivatives under Swap Connect,Ongoing
137,OTC Derivatives Development,Promote financial market innovation and growth,Promote the development of over-the-counter derivatives,Ongoing
137,Cross-Boundary RMB Repo Business,Strengthen cross-border financial collaboration and RMB internationalization,Explore the launch of the cross-boundary RMB repo business in collaboration with the Mainland,In due course
138,Enhanced Market Outreach for Corporate Bonds,To encourage more enterprises to issue corporate bonds in Hong Kong,Attract global capital to participate in Hong Kong's bond market,Not specified
140,RMB Business Facility,To enhance the liquidity and global reach of the offshore RMB market in Hong Kong,"Provide enterprises with longer-term RMB financing for trade, daily operation, and capital expenditure, supporting the use of RMB in the real economy",Not specified
140,Diversified Channels for Cross-Boundary Capital Acquisition,To enhance the liquidity and global reach of the offshore RMB market in Hong Kong,Provide a stable source of RMB funds for the market at a relatively low cost,Not specified
140,Facilitating Foreign Exchange Quotations and Transactions,To enhance the liquidity and global reach of the offshore RMB market in Hong Kong,Explore measures to facilitate foreign exchange quotations and transactions between RMB and other regional currencies in Hong Kong,Not specified
141,Increase RMB Bond Issuance,To enhance the use of RMB in financial transactions and support the development of the RMB market,Issue more RMB bonds,Not specified
141,Consider RMB for Government Expenditure,To promote the use of RMB in government financial operations,Consider settling government expenditure in RMB under suitable circumstances,Not specified
143,Gold Storage Facilities Establishment,Support the Airport Authority Hong Kong (AAHK) and financial institutions to establish Hong Kong's gold storage facilities,"Propel Hong Kong into a regional gold reserve hub with a target gold storing capacity of over 2,000 tonnes",Three years
144,Gold Refinery Expansion and Collaboration,Encourage gold traders to set up or expand refineries in Hong Kong and explore collaboration with the Mainland,Increase gold trading and delivery activities in Hong Kong by leveraging Mainland processing capabilities,Not specified
145,Central Clearing System for Gold,To provide efficient and reliable clearing services for gold transactions in compliance with international standards,Establish a central clearing system for gold in Hong Kong and invite the participation of the Shanghai Gold Exchange to prepare for mutual market access with the Mainland,Not specified
146,Gold Fund Issuance Support,To offer a greater variety of gold investment vehicles,Assist issuers in issuing gold funds,Not specified
146,Tokenised Gold Development,To offer a greater variety of gold investment vehicles,Support the development of new investment products such as tokenised gold,Not specified
147,Gold Industry Trade Association,To support the gold industry and enhance its development,"Establish an exchange platform with the Government and regulators, step up promotional efforts, attract more B&R clients, and strengthen talent training",Not specified
149,Amend Legislation for Insurance Funds,To encourage insurance funds to participate in infrastructure financing,Lower capital requirements for infrastructure investment and provide concessions for local projects,Next year
149,Promote Exclusive Captive and Reinsurance Business,To enhance the insurance sector in Hong Kong,"Encourage the market to introduce more insurance products, including those related to cross-boundary elderly care, cross-boundary driving, and low-altitude economy",Not specified
151,Enhance Preferential Tax Regimes,Attract more funds to establish a presence in Hong Kong,Improve the attractiveness of Hong Kong as a financial hub,Not specified
151,Promote REITs Mutual Market Access,Increase the liquidity of REITs in the Mainland and Hong Kong,Enhance the market for real estate investment trusts,Not specified
151,Enhance QFLP Mechanism,Collaborate with Qianhai and Shanghai to attract more foreign capital to the Mainland's private capital market,Facilitate the flow of foreign capital into the Mainland's private capital market,Not specified
151,Nurture Local Private Equity and Hedge Fund Institutions,Support the growth of local financial institutions,Develop and strengthen local private equity and hedge fund institutions,Not specified
152,Enhanced New Capital Investment Entrant Scheme,To attract more high-net-worth individuals to invest in Hong Kong,Increase the maximum investment amount for non-residential properties and lower the transaction price threshold for residential properties,No specific timeline mentioned
154,Stablecoin Issuer Regulation,To ensure stability and regulation in the digital asset market,Implement a regime for stablecoin issuers,Not specified
154,Digital Asset Dealing and Custodian Licensing,To regulate and provide structure for digital asset service providers,Formulate legislative proposals for licensing regimes,Not specified
154,Wider Range of Digital Asset Products for Professional Investors,To expand the digital asset market while ensuring investor protection,Study and offer a wider range of digital asset products and services to professional investors,Not specified
154,International Tax Co-operation,To combat cross-border tax evasion,Step up international tax co-operation,Not specified
154,Automated Reporting and Data Surveillance Tools,To enhance regulatory oversight and risk management in the digital asset market,Introduce automated reporting and data surveillance tools,Not specified
155,Deepen Pilot Cooperation with GBA Carbon Market,"Building on the launch of Core Climate, an international carbon trading platform by HKEX in 2022",Test cross-border trade settlement and jointly build a regional carbon market ecosystem,Future (no specific dates mentioned)
155,Study Participation in International Carbon Market,Collaboration with Mainland regulatory departments and authorities,"Address issues surrounding the country's participation in the international carbon market, including voluntary carbon credit standards, methods, and registration, trading, and settlement of carbon emission reduction",Future (no specific dates mentioned)
156,Project Ensemble,Support the development of the tokenisation market in Hong Kong,Allow industry participants to explore building the next-generation financial infrastructure with blockchain technology in actual business scenarios,Not specified
158,Opening Up New Markets,Evolving geopolitical landscape has disrupted existing supply chains,Expand market opportunities for Hong Kong businesses,Not specified
158,Promoting Digital Trade,Evolving geopolitical landscape has disrupted existing supply chains,Enhance the digital capabilities of Hong Kong's trade sector,Not specified
158,Supporting SME Transformation and Upgrading,Evolving geopolitical landscape has disrupted existing supply chains,Help SMEs adapt and improve their operations,Not specified
159,Investment Agreement Negotiations,Strengthen economic ties and protect investments,"Conclude and sign investment agreements with Qatar, Saudi Arabia, Bangladesh, Egypt, and Peru","Mid-2025 (Qatar), ongoing for others"
159,RCEP Accession,Expand economic and trade network,Seek accession to the Regional Comprehensive Economic Partnership (RCEP),Ongoing
160,Establish Economic and Trade Office in Kuala Lumpur,To deepen economic and trade promotion in ASEAN and neighbouring countries,Enhance economic and trade relations with ASEAN and neighbouring countries,This year
160,Expand ETO Coverage to Latin America and Central Asia,To broaden economic and trade promotion efforts,Enhance economic and trade relations with Latin America and Central Asia,No specific timeline mentioned
162,Project Ensemble,Explore cross-boundary financial collaboration with the Shanghai Municipal Bureau of Data and other parties,Apply tokenised electronic bills of lading and advance connections with CDI and Cargo,Not specified
163,Recruitment of Additional Pilot Participant for CEFA,To enhance the efficiency of e-commerce shipment,Recruit a logistics provider as an additional pilot participant of the Cross-boundary Express Cargo Clearance Facilitation Arrangement (CEFA),Not specified
164,Expansion of Trade Single Window,To enhance trade efficiency and streamline processes,Cover more trade documents progressively,Not specified
164,Connection of Single Windows with Mainland,To facilitate trade between Hong Kong and the Mainland,Work with the Mainland's General Administration of Customs to connect the single windows,Not specified
164,Extension of 'Single Submission for Dual Declaration' Scheme,To further streamline trade processes,Explore the feasibility of extending the scheme to include other trade documents and transport modes,Not specified
164,Connection of Single Windows with ASEAN,To enhance trade relations with ASEAN countries,Discuss the possibility of connecting the single windows with ASEAN,Not specified
165,Digitalisation of Business-to-Business Trade Documents,To modernize and streamline business-to-business trade processes,Introduce a legislative proposal to facilitate the digitalisation of trade documents,Next year (2024)
167,Establishment of Delivery Warehouses,To support the sector and enhance Hong Kong's role in the global metals trading market,Set up more approved warehouses with the approval of the London Metal Exchange,Not specified
168,Half-rate Tax Concessions for Commodity Traders,To drive demand for shipping and professional maritime services,Attract commodity traders to set up businesses in Hong Kong,Legislative amendments in the first half of next year
169,Enhance International Commodity Trading with Financial Innovation,To improve the efficiency and reliability of international commodity trading processes,Test the use of technologies such as electronic bills of lading and tokenised deposit in collaboration with the HKMA and Banco Central do Brazil,Not specified
171,Strategic Committee on Commodities,To strengthen the top-down design and long-term strategy of Hong Kong's commodity policy,Bring together industry representatives to enhance commodity policy,Not specified
175,Partner Port Relationships,Strengthen strategic collaboration with Mainland regions and B&R regions,Establish 'partner port' relationships and prepare for the development of a green shipping corridor,Not specified
176,Green Maritime Fuel Storage Facilities,"Development of bunkering of green fuels such as green methanol, green ammonia, and hydrogen",Invite industry to submit expressions of interest in developing green maritime fuel storage facilities,Later this year
176,Methanol Bunkering Efficiency Improvement,Ensure efficient and accurate methanol bunkering services,Require all vessels providing methanol bunkering services in Hong Kong waters to install mass flow meters,Within next year
176,Feasibility Study on Green Ammonia and Hydrogen Bunkering,Explore the potential for green ammonia and hydrogen bunkering,Initiate a feasibility study on green ammonia and hydrogen bunkering,Not specified
177,Green Maritime Fuels Trading and Export,To support the transition to more sustainable maritime fuels and enhance Hong Kong's role in the green economy,Facilitate the trading of more green maritime fuels in Hong Kong and assist in the export of Mainland-produced green maritime fuel,Not specified
178,Port Community System,To enhance digital connectivity and efficiency in trade and logistics,"Provide cargo tracking function and connect sea, land, and air transport networks to bolster trade and capital flows",January next year (2024)
180,Amend Merchant Shipping (Registration) Ordinance,To strengthen Hong Kong's leading position in high value-added maritime services,Render the registration processes more flexible and digitalised,Next year
180,Promote Tax Concessions for Maritime Services,To strengthen Hong Kong's leading position in high value-added maritime services,Enhance the marine insurance business,Not specified
180,Establish Dedicated Marine Risk Pool,To strengthen Hong Kong's leading position in high value-added maritime services,Enhance Hong Kong's underwriting capacity for both local and Mainland markets,Engagement with the industry is ongoing
182,Modern Logistics Clusters Development,Consolidate Hong Kong's position as an international logistics hub,Develop modern logistics clusters in Hung Shui Kiu/Ha Tsuen NDA,"Findings released this year, expressions of interest invited next year"
183,Enhancing Air Connectivity,Leverage the opportunities brought by the Three-Runway System at the HKIA and the increase in the number of passenger and cargo flights,Increase the number of long-haul and transit routes to reinforce Hong Kong's top global ranking for cargo throughput and its role as the GBA's transit hub,Ongoing (no specific end date mentioned)
184,Expansion of Bilateral Air Services Arrangements,To increase flights to and from key regions and enhance Hong Kong's connectivity,"Forge more new air services agreements and expand traffic rights with South America, Central Asia, Africa, and the Middle East","Ongoing, with recent progress including a consensus with Chile last month"
185,Expanded Exemptions from Air Passenger Departure Tax,To boost transit traffic through Hong Kong,Exempt passengers travelling to Hong Kong for transit by sea or land from the Air Passenger Departure Tax,Starting in October
185,Expansion of City Terminal Network,To enhance connectivity and facilitate travel,Expand the city terminal network in the Mainland and improve land transport connections under 'Fly-Via-Zhuhai-Hong Kong',No specific timeline mentioned
186,AsiaWorld-Expo Phase 2 Construction,Expansion of the AsiaWorld-Expo facilities,Complete the construction of Phase 2,Expected completion in 2028
186,Yacht Bay Development,Enhance the recreational and tourism offerings at AsiaWorld-Expo,Develop a yacht bay and ancillary facilities,"Invitations for expressions of interest early next year, facilities to be completed in phases starting in 2028"
186,Arts Industry Ecosystem,Support the growth of the arts sector,Create an ecosystem for the arts industry,"Ongoing, no specific timeline mentioned"
186,Jet Fresh Market,Provide a market for fresh gourmet products,Open a jet fresh market,"Ongoing, no specific timeline mentioned"
187,Three-Runway System Expansion,Leverage the advantages of the Three-Runway System to maintain and enhance the HKIA's position as a leading cargo airport,Increase cargo throughput at the HKIA,Ongoing
187,Dongguan Logistics Park Construction,Support the use of Hong Kong air cargo services for transporting goods to and from the Mainland,Boost the use of Hong Kong air cargo services,Ongoing
188,Promotion of Legal Services,Maintaining and leveraging Hong Kong's robust legal system and bilingual common law system,Enhance the promotion of legal services in Hong Kong,Not specified
188,Deepening Mediation Culture,Maintaining and leveraging Hong Kong's robust legal system and bilingual common law system,Strengthen Hong Kong's position as the Capital of Mediation,Not specified
190,International Conferences and Programmes for IOMed,Support the work of the IOMed and provide opportunities for Hong Kong young people and legal professionals,Nurture more international mediation professionals for Hong Kong,Not specified
191,Hong Kong International Legal Service Building,To enhance Hong Kong's position as an international legal and dispute resolution hub,Construct a building to house the headquarters of the Hong Kong International Legal Talents Training Academy and international legal and dispute resolution services institutions,Not specified
192,Promotion of Legal Services for Mainland Enterprises,Support Mainland enterprises wishing to expand overseas,Enhance collaboration between Hong Kong's legal services and other professional service sectors (accounting and finance),Not specified
193,Pilot Scheme on Sports Dispute Resolution,To provide a structured and efficient mechanism for resolving sports-related disputes,Enhance the resolution process for sports disputes,Ongoing
193,Pilot Scheme on Community Mediation,To provide a community-based mediation service to resolve disputes at the grassroots level,Promote community harmony and efficient dispute resolution,Ongoing
193,Strengthen Accreditation and Disciplinary Systems for Mediation Profession,To enhance the professionalism and credibility of the mediation profession,Improve the standards and oversight of mediation practitioners,Not specified
193,Promotion of Hong Kong's Arbitration Services,To enhance Hong Kong's position as a leading international arbitration hub,Increase awareness and use of Hong Kong's arbitration services,Not specified
193,Study on Amending the Arbitration Ordinance,To ensure the Arbitration Ordinance remains up-to-date and effective,Identify and implement necessary amendments to the Arbitration Ordinance,Not specified
195,Northern Metropolis University Town,Leverage Hong Kong's competitive edge in post-secondary education and enhance its global standing,Accelerate construction to support the development of the Northern Metropolis as an educational hub,Not specified
195,Promote 'Study in Hong Kong' Brand,Leverage Hong Kong's competitive edge in post-secondary education and enhance its global standing,Attract more international students to study in Hong Kong,Not specified
195,Develop Universities of Applied Sciences (UASs),Leverage Hong Kong's competitive edge in post-secondary education and enhance its global standing,Expand and enhance the applied sciences sector in higher education,Not specified
196,Promote DSE International Recognition,Enhance the global competitiveness of Hong Kong's education system,Increase the number of higher education institutions worldwide that recognize the DSE,Not specified
196,Attract Outstanding Teachers and Students,Enhance the quality and diversity of the education system,Recruit more talented educators and students from around the world,Not specified
196,Support International Schools,Foster a diverse and high-quality education environment,Support the development and improvement of international schools in Hong Kong,Not specified
196,Enhance Teacher Professional Standards,Improve the quality of education,Continually raise the professional standards of teachers,Not specified
196,Strengthen Digital and Technology Education,Prepare students for the digital age,Enhance the quality and relevance of digital and technology education programmes,Not specified
197,Increase in Non-Funded Places for Non-Local Students,High popularity of Hong Kong universities and a double-digit year-on-year increase in self-financing non-local applicants,Increase the number of non-funded places for non-local students to study in Hong Kong on a self-financing basis,Starting from the 2026/27 academic year
197,Raise Enrolment Ceiling for Self-Financing Non-Local Students,High popularity of Hong Kong universities and a double-digit year-on-year increase in self-financing non-local applicants,Raise the enrolment ceiling for self-financing non-local students of each funded post-secondary institution from 40% to 50% of local student places,Starting from the 2026/27 academic year
197,Increase Over-Enrolment Ceiling for Self-Financing Research Postgraduate Programmes,High popularity of Hong Kong universities and a double-digit year-on-year increase in self-financing non-local applicants,Increase the over-enrolment ceiling of self-financing places of funded research postgraduate programmes from 100% to 120%,Starting from the 2026/27 academic year
198,Hostels in the City Scheme,Facilitate the market in converting existing commercial buildings (including hotels) into student hostels,Increase the supply of student hostels by obviating the need for rezoning and allowing excessive plot ratio to be retained,"Launched in July 2023, expanded effective today"
198,New Sites for Student Hostels,Further increase the supply of student hostels,Earmark new sites (zoned as commercial or otherwise) for building new hostels and invite market expressions of interest,This year (2023)
199,Task Force on Study in Hong Kong,To enhance the promotion of higher education in Hong Kong,Bring together various stakeholders to promote higher education,Not specified
200,Hong Kong: Your World-class Campus,"To promote Hong Kong's quality resources in academic studies, scientific research, and international cooperation",Enhance Hong Kong's reputation and attract international talent and collaboration,Not specified
201,Enhanced Publicity and Recruitment Support for Universities,To enhance the international and Mainland presence of Hong Kong's universities,Increase the visibility and attractiveness of Hong Kong's universities to overseas and Mainland students and teachers,Funding provided for the period covered by the 2025 Policy Address
201,Summer Study Tours for Non-Local Students,To attract non-local senior secondary school students to Hong Kong,Enhance the appeal of Hong Kong's post-secondary institutions to potential international students,Ongoing initiative led by the EDB
202,Enhance 'Study Tour in Hong Kong' Activities,Promote the 'Study Tour in Hong Kong' brand,Encourage post-secondary institutions to offer more high value-added study tours,Not specified
203,UAS Collaboration with Leading Enterprises,To foster industry-education collaboration and joint promotion,Encourage UASs to deepen collaboration with leading enterprises in the Mainland and overseas,Not specified
203,GBA Exchange Platform,To explore the feasibility of cooperation with leading polytechnic institutions in Guangdong Province,Jointly establish a GBA exchange platform,Not specified
204,Mutual Recognition of Sub-degree Level Qualifications,Facilitate cross-boundary job-seeking and further studies for graduates of vocational and professional programmes,Implement mutual recognition of sub-degree level qualifications between Hong Kong and the Mainland,Ongoing exploration (no specific timeline mentioned)
205,Direct Subsidy Scheme Expansion,To allow schools under the Direct Subsidy Scheme to increase their capacity and attract more non-local students,Expand the number and size of classes and increase the intake of non-local students with student visas,Trial basis (no specific dates mentioned)
206,Promote International Recognition of DSE,To enhance the visibility and acceptance of the DSE qualification in various sectors overseas and on the Mainland,Increase options for DSE candidates for further education,Not specified
207,Strengthening Crackdown on Unauthorized DSE Programmes and Shell Schools,To address the issue of unauthorized provision of DSE programmes and the operation of 'shell schools',Enhance regulatory oversight and enforcement to ensure compliance,Ongoing
207,Reporting Mechanism for Unauthorized DSE Programmes,To facilitate the reporting of unauthorized DSE programmes and 'shell schools',Enable the public to report violations and improve regulatory response,Already set up
207,Unannounced Inspections,To ensure compliance with regulations and standards,Conduct regular unannounced inspections to monitor and enforce compliance,Ongoing
207,Clarification of Registration Arrangements for Private DSE Candidates,To provide clear guidance for private candidates taking the DSE,Improve the registration process and ensure transparency,In the coming year
207,Formulation of Code of Practice for Private Schools,To establish clear standards and guidelines for private schools,Enhance the operational standards of private schools,Within this year
207,Publication of Private School List,To provide the public with information on registered private schools,Increase transparency and accountability in the private school sector,Within this year
208,International School Development in Vacant School Premises,Utilize vacant school premises for international school development,Support the development of international schools,Not specified
208,International School Development in Northern Metropolis,Reserve sites in the Northern Metropolis for international school development,Support the development of international schools in the Northern Metropolis,Not specified
209,Increase Admission Quotas for International Schools,To enhance the international education landscape in Hong Kong,Encourage international schools to admit more students,Not specified
209,Remove Barriers for International School Expansion,To support the growth and improvement of international schools,"Allow quality international schools to build new facilities and enhance existing ones, including student boarding facilities, on a self-financing basis",Not specified
210,Digital Education Support,To support digital education in primary and secondary schools,"Enhance digital and AI literacy through curriculum optimization, AI education, teacher training, and corporate resource integration",Blueprint to be released in 2026
211,Enhanced Dedicated Funding Programme for Publicly-Funded Schools,To enhance the quality of education in publicly-funded schools and eligible kindergartens,"Raise the cumulative funding ceiling and encourage schools to strengthen promotion in areas such as values education, financial education, and entrepreneurial spirit",Not specified
212,I&T Development Framework,"Hong Kong's strong position in technology and innovation, and the presence of major I&T parks and R&D institutions","Propel I&T development, pool global talents, and support the development of aerospace science and technology",Not specified
212,New Industrialisation Promotion,Leverage Hong Kong's R&D platform and technological strengths,Promote the development of new industrialisation and the low-altitude economy,Not specified
212,People-Oriented Scientific Research Support,Support for research that benefits the public,Facilitate people-oriented scientific research,Not specified
212,Attracting Leading I&T Enterprises,Enhance Hong Kong's position as a hub for innovation and technology,Facilitate leading I&T enterprises to establish a presence in Hong Kong,Not specified
213,Pilot Lines by Hong Kong Microelectronics Research and Development Institute,Advancement in microelectronics research and development,Establish two pilot lines to support microelectronics innovation,Ongoing (no specific end date mentioned)
213,Life and Health Technology Research Institutes,Enhancement of life and health technology research,Complete preparatory work for the establishment of the institutes,Within next year (2024)
213,Hong Kong Artificial Intelligence Research and Development Institute,Advancement in artificial intelligence research and development,Complete preparatory work for the establishment of the institute,Within next year (2024)
215,Third InnoHK Research Cluster,"Focus on sustainable development, energy, advanced manufacturing, and materials",Establish R&D centres to advance research in these areas,First half of 2026
216,Relaxed New Industrialisation Acceleration Scheme,To encourage the establishment of more smart production facilities,Lower the minimum total project cost from $300 million to $150 million and provide funding on a matching basis for the employment of relevant technical personnel,Not specified
217,I&T Industry-Oriented Fund,To channel market capital to invest in emerging and future industries of strategic importance,Support the growth and development of strategic industries through investment,2026-27
218,Prostheses Subsidy Scheme,Support people-oriented scientific research and introduce advanced prostheses technology to benefit amputees,Provide full subsidies to amputees in Hong Kong for the configuration and use of high-tech prostheses,Two years
219,Competitive Low-Altitude Economy Ecosystem,To enhance Hong Kong's position in the Asia-Pacific region for innovative low-altitude applications,Forge ahead with building a competitive low-altitude economy ecosystem,Not specified
220,Action Plan on Developing Low-Altitude Economy,Advance Hong Kong as a major hub for low-altitude applications,Promote institutional innovations and technological breakthroughs in low-altitude applications,Not specified
221,Civil Aviation Legislation and Regulatory Framework Improvement,To support the development of the low-altitude economy,Formulate dedicated legislation for unconventional aircraft weighing over 150 kilograms,Not specified
222,Spectrum Designation,Enhance core infrastructure facilities,Designate spectrum for infrastructure needs,By the end of the year
222,Early Planning and Deployment of Vertiports,Enhance core infrastructure facilities,Facilitate the development of vertiports,Not specified
222,Air Route Networks Development,Enhance core infrastructure facilities,Develop air route networks,Not specified
222,Satellite Positioning System,Enhance core infrastructure facilities,Implement satellite positioning systems,Not specified
222,Three-Dimensional Spatial Data Systems,Enhance core infrastructure facilities,Develop three-dimensional spatial data systems,Not specified
222,"Smart, Low-Altitude Traffic-Management System",Enhance core infrastructure facilities,"Implement a smart, low-altitude traffic-management system",Not specified
223,Promote R&D and Applications in Low-Altitude Economy,Encourage higher education institutions and enterprises to utilize existing funding schemes,Support the industry and universities in organizing more training to promote the low-altitude economy,Ongoing
223,Host Flagship Events for Low-Altitude Economy,Build on the success of the inaugural Hong Kong Low Altitude Economy Forum,"Showcase business opportunities and promote an innovative, efficient, and secure low-altitude economy ecosystem",Ongoing
224,Regulatory Sandbox X,To regularize and expand the operation of more mature application scenarios in the low-altitude economy,"Roll out advanced low-altitude economy pilot projects covering technically complex scenarios such as cross-boundary routes and passenger-carrying, low-altitude aircraft",Not specified
225,Low-Altitude Economy Insurance Products Development,"To meet the growing demands for insurance in various application scenarios, drawing from the data of the Government's Regulatory Sandbox",Develop and introduce low-altitude economy insurance products,Not specified
227,Hong Kong Space Robotics and Energy Centre,Support the country's Chang'E-8 mission,Enhance research and development capabilities in space robotics and energy,Not specified
227,Innovation and Technology Support Programme Special Call on Aerospace Technology,Support university R&D projects in aerospace technology,Allocate over $100 million to fund six university R&D projects,Not specified
227,Streamlining Licence Applications for Low Earth Orbit Satellites,Improve the efficiency of the vetting process for satellite licences,Streamline the vetting of licence applications for Low Earth Orbit satellites,Not specified
227,Promotion of 6G Application,Advance the development and adoption of 6G technology,Promote the application of 6G technology,Not specified
227,Investment in Commercial Aerospace and Space Economy,Foster growth in the commercial aerospace and space economy sectors,Pursue investment in areas related to commercial aerospace and the space economy,Not specified
228,"IP Financing, Valuation, and Protection Measures",To enhance Hong Kong's position as a hub for intellectual property and support I&T development and creativity,"Boost IP trading by improving financing, valuation, and protection mechanisms",Not specified
229,IP Financing Sandbox,"To assist pilot sectors, particularly the technology sector, in leveraging intellectual properties (IPs) for financing","Facilitate IP financing with the support of banking, insurance, valuation, legal, and other professions",Not specified
230,Patent Evaluation Support,Support local small and medium I&T enterprises,Provide patent evaluation based on national standards,By the end of this year
230,Pilot Programme for Patent Valuation Subsidy,Support local small and medium I&T enterprises,Subsidize patent valuation as a reference for credit financing,Two-year pilot programme
231,Formulate Code of Practice for AI Technology Development,Completion of public consultation on enhancement of the Copyright Ordinance regarding AI technology protection,Establish legal principles and prepare a legislative proposal for AI technology development,Not specified
231,Review Local Registered Designs Regime,Ongoing review of the local registered designs regime,Prepare for public consultation on the local registered designs regime,By the end of the year
232,Promote IP Financing,To enhance the visibility and attractiveness of intellectual property (IP) financing in Hong Kong,Promote IP financing through the Business of IP Asia Forum 2025,2025
232,Nominate Local Enterprises for China Patent Award,To recognize and encourage local enterprises in the field of intellectual property,Nominate local enterprises to compete for the China Patent Award,Not specified
233,Enhance Talent Policy,To attract technical professionals with specified skills to Hong Kong,Build Hong Kong into an international hub for high-calibre talents,Not specified
233,Promote Talent Flow,To facilitate the movement of talents between the industry and academic sectors,Enhance collaboration and exchange between industry and academia,Not specified
233,Strengthen HKTE Efforts,To improve talent attraction and support,Support the development of high-calibre talents in Hong Kong,Not specified
234,Young Talent Training Programme,"To better equip young people, broaden their international horizons, and cultivate a holistic outlook",Provide more opportunities for internships in international organizations and attendance at international conferences,Not specified
234,Media Thematic Internship Programme,To broaden young people's international horizons and provide specific media-related opportunities,Introduce a new media thematic internship programme in the Mainland,Not specified
234,Strengthened Youth Financial Education Programme,To enhance young people's financial literacy and understanding,Strengthen the existing Youth Financial Education Programme,Not specified
234,New Mediation Workshops,To enhance young people's understanding of the mediation industry,Launch new mediation workshops,Not specified
236,HYAB Funding Scheme for Youth Exchange in the Mainland,To encourage youth exchange between Hong Kong and the Mainland,Foster better understanding and cooperation among young people from Hong Kong and the Mainland,Ongoing
236,HYAB Funding Scheme for International Youth Exchange,To encourage international youth exchange,Foster better understanding and cooperation among young people from Hong Kong and overseas,Ongoing
236,International and Mainland Exchange Activities by Youth Uniformed Groups,To enhance the international and Mainland exposure of youth through organized activities,Promote cultural exchange and mutual understanding among young people,Ongoing
237,Renovation of Interactive Space for Young People at Youth Square,To provide venues for young people to expand their networks,Complete the first phase of renovation work,By the end of this year
237,Physical Platform for Interaction for Youth Link Members,To provide venues for young people to expand their networks,Complete the first phase of the physical platform,By the end of this year
242,Innovation and Technology Talents Exchange Scheme for Industry and Academic Sectors,To encourage university professors to engage in corporate R&D activities and for senior management of technology enterprises and technical experts to teach and help develop curriculum,"Strengthen the collaborative development of the industry, academic, and research sectors",Not specified
244,Develop Premium Arts Trading Hub,Consolidate Hong Kong's position as the East-meets-West centre for international cultural exchange,Enhance the arts trading market in Hong Kong,Not specified
244,Promote Diverse Development of West Kowloon Cultural District (WKCD),Consolidate Hong Kong's position as the East-meets-West centre for international cultural exchange,Enhance the cultural and creative industries in the WKCD,Not specified
244,Refocus Performance Venues,Consolidate Hong Kong's position as the East-meets-West centre for international cultural exchange,Optimize the use and development of performance venues,Not specified
244,Develop Flagship Arts and Cultural Projects,Consolidate Hong Kong's position as the East-meets-West centre for international cultural exchange,Create and support major arts and cultural projects,Not specified
244,Intensify Promotion of Intangible Cultural Heritage (ICH),Consolidate Hong Kong's position as the East-meets-West centre for international cultural exchange,Increase awareness and preservation of ICH,Not specified
244,Introduce Commercial Elements to Enrich LCSD Facilities and Events,Consolidate Hong Kong's position as the East-meets-West centre for international cultural exchange,Enhance the attractiveness and sustainability of LCSD facilities and events,Not specified
246,Arts Ecosystem at Airport City,To create a centralized location for arts-related activities and businesses,"Host arts studios, galleries, and dealers under one roof, supported by large-scale arts storage and related facilities",Not specified
247,Enhance International Arts Trading Platform,Deepen collaboration with Art Basel to strengthen Hong Kong's position in the arts market,Consolidate Hong Kong's status as the exclusive host city in the region for Art Basel,Not specified
250,Artist Square Towers Leasing Strategy,"To attract more arts trading enterprises, including galleries, insurance companies, and family offices, to lease space in the towers",Enhance the arts and cultural ecosystem by attracting relevant businesses,Scheduled for completion in 2026-27
